t_ms,state,raw_acc_x,raw_acc_y,raw_acc_z,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,raw_gyr_x,raw_gyr_y,raw_gyr_z,gyr_x,gyr_y,gyr_z,uncal_mag_x,uncal_mag_y,uncal_mag_z,mag_x,mag_y,mag_z,quat_game_w,quat_game_x,quat_game_y,quat_game_z,quat_geomag_w,quat_geomag_x,quat_geomag_y,quat_geomag_z
0,,,,,0.048969998955726624,-0.018103323876857758,1.0185164213180542,,,,,,,-1.1062428951263428,-1.3672937154769897,1.386644721031189,,,,,,,,,,,,,,
10,,,,,0.0462193638086319,-0.015440193004906178,1.0182698965072632,,,,,,,-1.0211284160614014,-1.4830553531646729,1.342402458190918,,,,,,,,,,,,,,
20,,,,,0.0432061031460762,-0.012727701105177402,1.0180052518844604,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,29.506147384643555,5.373044490814209,-39.50959396362305,,,,,,,,
100,,,,,0.04852499067783356,-0.017657803371548653,1.018476128578186,,,,,,,,,,,,,29.505205154418945,5.371667385101318,-39.50812530517578,,,,,,,,
110,,,,,0.045728906989097595,-0.014985742047429085,1.0182265043258667,,,,,,,-1.174973487854004,-1.265924334526062,1.421973705291748,,,,29.50433921813965,5.370257377624512,-39.50677490234375,,,,,,,,
120,,,,,0.042672980576753616,-0.012265772558748722,1.0179588794708252,,,,,,,-1.0921707153320312,-1.3871607780456543,1.379367470741272,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,-1.0066089630126953,-1.5017735958099365,1.3348010778427124,,,,,,,,,,,,,,
190,,,,,0.04803093895316124,-0.01717030443251133,1.018431544303894,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,0.04518582299351692,-0.014488784596323967,1.0181785821914673,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,0.04208395257592201,-0.011760945431888103,1.017907738685608,,,,,,,-1.1599684953689575,-1.2886823415756226,1.414291262626648,,,,29.50596809387207,5.372793674468994,-39.509315490722656,,,,,,,,
220,,,,,,,,,,,,,,-1.0766425132751465,-1.4087436199188232,1.371320128440857,,,,29.50503921508789,5.371410846710205,-39.50786590576172,,,,,,,,
230,,,,,,,,,,,,,,-0.9905968904495239,-1.522078275680542,1.3264001607894897,,,,29.504188537597656,5.369994640350342,-39.50653839111328,,,,,,,,
300,,,,,0.047404561191797256,-0.016562333330512047,1.0183753967285156,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,0.044499319046735764,-0.013869473710656166,1.0181182622909546,,,,,,,-1.1411755084991455,-1.316685438156128,1.4046454429626465,,,,29.505748748779297,5.372480392456055,-39.50897216796875,,,,,,,,
320,,,,,0.04134122282266617,-0.011132272891700268,1.0178433656692505,,,,,,,-1.0572091341018677,-1.4352588653564453,1.3612233400344849,,,,29.504838943481445,5.371089935302734,-39.50755310058594,,,,,,,,
330,,,,,,,,,,,,,,-0.970572292804718,-1.5469789505004883,1.3158669471740723,,,,29.504005432128906,5.36966609954834,-39.50625228881836,,,,,,,,
390,,,,,0.04684082791209221,-0.016024192795157433,1.0183250904083252,,,,,,,-1.1245052814483643,-1.341067910194397,1.3960667848587036,,,,,,,,,,,,,,
400,,,,,0.0438833087682724,-0.013321708887815475,1.0180643796920776,,,,,,,-1.0399843454360962,-1.4583067893981934,1.3522504568099976,,,,29.50555992126465,5.372203350067139,-39.5086784362793,,,,,,,,
410,,,,,0.040676433593034744,-0.010576636530458927,1.017785906791687,,,,,,,-0.9528363347053528,-1.56858229637146,1.306512475013733,,,,29.50466537475586,5.3708062171936035,-39.50728225708008,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,29.503847122192383,5.369375705718994,-39.50600814819336,,,,,,,,
500,,,,,0.04628070443868637,-0.015497419983148575,1.0182753801345825,,,,,,,,,,,,,29.50537872314453,5.371932029724121,-39.50839614868164,,,,,,,,
510,,,,,0.04327286034822464,-0.012785888276994228,1.0180110931396484,,,,,,,-1.1081349849700928,-1.3645999431610107,1.3876221179962158,,,,29.504497528076172,5.370528221130371,-39.507022857666016,,,,,,,,
520,,,,,0.04001912847161293,-0.010033481754362583,1.0177291631698608,,,,,,,-1.0230814218521118,-1.4805153608322144,1.3434237241744995,,,,29.50369644165039,5.369091510772705,-39.50577163696289,,,,,,,,
530,,,,,,,,,,,,,,-0.9354434013366699,-1.589361310005188,1.2973161935806274,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,-1.0844330787658691,-1.3979597091674805,1.3753597736358643,,,,,,,,,,,,,,
610,,,,,0.0454588383436203,-0.014737812802195549,1.0182026624679565,,,,,,,-0.9986289739608765,-1.511936902999878,1.3306167125701904,,,,,,,,,,,,,,
620,,,,,0.04237990081310272,-0.012013876810669899,1.0179333686828613,,,,,,,-0.9103022217750549,-1.6186946630477905,1.283982753753662,,,,,,,,,,,,,,
630,,,,,0.03906014934182167,-0.009251534007489681,1.0176464319229126,,,,,,,,,,,,,,,,,,,,,,,
710,,,,,0.04489125683903694,-0.01422186940908432,1.0181527137756348,,,,,,,,,,,,,29.504953384399414,5.371273994445801,-39.50773239135742,,,,,,,,
720,,,,,0.041765015572309494,-0.011489935219287872,1.0178800821304321,,,,,,,,,,,,,29.50411033630371,5.36985445022583,-39.50641632080078,,,,,,,,
730,,,,,0.03840145468711853,-0.00872126966714859,1.017589807510376,,,,,,,,,,,,,29.503345489501953,5.368402481079102,-39.50522232055664,,,,,,,,
800,,,,,0.04434184357523918,-0.013728748075664043,1.0181045532226562,,,,,,,-1.0527980327606201,-1.4412016868591309,1.358927607536316,,,,29.504793167114258,5.3710174560546875,-39.507484436035156,,,,,,,,
810,,,,,0.041171133518218994,-0.010989489033818245,1.0178285837173462,,,,,,,-0.9660291075706482,-1.5525529384613037,1.3134729862213135,,,,29.503965377807617,5.36959171295166,-39.50619125366211,,,,,,,,
820,,,,,0.0377664789557457,-0.008215097710490227,1.0175352096557617,,,,,,,-0.8768198490142822,-1.6564908027648926,1.2661519050598145,,,,29.50321388244629,5.368133544921875,-39.50502014160156,,,,,,,,
900,,,,,0.04378652200102806,-0.013236301019787788,1.0180559158325195,,,,,,,,,,,,,29.504638671875,5.370763301849365,-39.507240295410156,,,,,,,,
910,,,,,0.04057212173938751,-0.010490035638213158,1.0177768468856812,,,,,,,,,,,,,29.50382423400879,5.3693318367004395,-39.5059700012207,,,,,,,,
920,,,,,0.03712718188762665,-0.007710234262049198,1.0174802541732788,,,,,,,,,,,,,29.503087997436523,5.367867946624756,-39.50482177734375,,,,,,,,
990,,,,,,,,,,,,,,-1.0217396020889282,-1.482261061668396,1.3427220582962036,,,,,,,,,,,,,,
1000,,,,,0.04322425648570061,-0.012743516825139523,1.0180069208145142,,,,,,,-0.9340633153915405,-1.590993046760559,1.2965854406356812,,,,29.504484176635742,5.3705058097839355,-39.50699996948242,,,,,,,,
1010,,,,,0.03996685892343521,-0.00999054592102766,1.017724633216858,,,,,,,-0.8440274000167847,-1.69212806224823,1.2486062049865723,,,,29.503684997558594,5.369068622589111,-39.50575256347656,,,,,,,,
1020,,,,,0.03648236021399498,-0.007205635774880648,1.0174248218536377,,,,,,,,,,,,,29.502962112426758,5.367599010467529,-39.5046272277832,,,,,,,,
1090,,,,,,,,,,,,,,,,,,,,29.50430679321289,5.37020206451416,-39.5067253112793,,,,,,,,
1100,,,,,0.042549580335617065,-0.012159539386630058,1.0179481506347656,,,,,,,-1.0032321214675903,-1.5060850381851196,1.3330310583114624,,,,29.503522872924805,5.368757724761963,-39.50550079345703,,,,,,,,
1110,,,,,0.039242152124643326,-0.009399015456438065,1.0176621675491333,,,,,,,-0.9150332808494568,-1.6132376194000244,1.2864954471588135,,,,29.502819061279297,5.36728048324585,-39.50440216064453,,,,,,,,
1120,,,,,0.03571174293756485,-0.00660844286903739,1.017358660697937,,,,,,,-0.8245229721069336,-1.7126871347427368,1.2381317615509033,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,-0.9832314252853394,-1.5313005447387695,1.3225293159484863,,,,29.504119873046875,5.369872570037842,-39.506431579589844,,,,,,,,
1210,,,,,0.04181409254670143,-0.011531535536050797,1.017884373664856,,,,,,,-0.8944828510284424,-1.6367313861846924,1.2755687236785889,,,,29.503355026245117,5.368420600891113,-39.5052375793457,,,,,,,,
1220,,,,,0.03845398500561714,-0.008763358928263187,1.017594337463379,,,,,,,-0.8034747242927551,-1.734346866607666,1.2267955541610718,,,,29.502666473388672,5.366936206817627,-39.50416564941406,,,,,,,,
1230,,,,,0.03487537056207657,-0.00596716720610857,1.0172868967056274,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,,,,,,,,,,,-0.96446293592453,-1.554468035697937,1.3126473426818848,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,-0.8752123117446899,-1.6582694053649902,1.2652937173843384,,,,29.503950119018555,5.369566440582275,-39.506168365478516,,,,,,,,
1310,,,,,0.041112348437309265,-0.010940243490040302,1.017823576927185,,,,,,,-0.7837508916854858,-1.7541526556015015,1.216141939163208,,,,29.50320053100586,5.368107318878174,-39.505001068115234,,,,,,,,
1320,,,,,0.03770368918776512,-0.008165305480360985,1.0175297260284424,,,,,,,,,,,,,29.502531051635742,5.366616249084473,-39.50395202636719,,,,,,,,
1330,,,,,0.03408079221844673,-0.00536426343023777,1.0172187089920044,,,,,,,,,,,,,,,,,,,,,,,
1390,,,,,0.040371526032686234,-0.010323929600417614,1.0177595615386963,,,,,,,,,,,,,,,,,,,,,,,
1400,,,,,0.036913350224494934,-0.00754239596426487,1.017461895942688,,,,,,,,,,,,,,,,,,,,,,,
1410,,,,,0.033245429396629333,-0.004736750386655331,1.0171469449996948,,,,,,,,,,,,,29.50377655029297,5.36924409866333,-39.505897521972656,,,,,,,,
1420,,,,,,,,,,,,,,,,,,,,29.5030460357666,5.367778301239014,-39.504756927490234,,,,,,,,
1430,,,,,,,,,,,,,,,,,,,,29.502391815185547,5.366279602050781,-39.50373458862305,,,,,,,,
1500,,,,,0.03970758244395256,-0.009778114967048168,1.0177022218704224,,,,,,,-0.9272364974021912,-1.5990275144577026,1.2929688692092896,,,,29.503625869750977,5.368957042694092,-39.50566101074219,,,,,,,,
1510,,,,,0.036206480115652084,-0.006991122849285603,1.017401099205017,,,,,,,-0.8370289206504822,-1.6995593309402466,1.2448511123657227,,,,29.502910614013672,5.3674845695495605,-39.50454330444336,,,,,,,,
1520,,,,,0.03249964490532875,-0.004181781783699989,1.017082929611206,,,,,,,-0.744706928730011,-1.791975736618042,1.1949644088745117,,,,29.50227165222168,5.3659796714782715,-39.50354766845703,,,,,,,,
1600,,,,,,,,,,,,,,-0.9105197787284851,-1.6184443235397339,1.2840983867645264,,,,29.50348663330078,5.368683338165283,-39.50544357299805,,,,,,,,
1610,,,,,,,,,,,,,,-0.8198988437652588,-1.7174922227859497,1.2356441020965576,,,,29.502784729003906,5.367204666137695,-39.50434875488281,,,,,,,,
1620,,,,,,,,,,,,,,-0.7272067666053772,-1.8083391189575195,1.1854339838027954,,,,29.502161026000977,5.36569356918335,-39.50337600708008,,,,,,,,
1700,,,,,,,,,,,,,,-0.8940116167068481,-1.6372637748718262,1.2753177881240845,,,,29.50335121154785,5.368413925170898,-39.50523376464844,,,,,,,,
1710,,,,,,,,,,,,,,-0.8029922246932983,-1.7348370552062988,1.2265353202819824,,,,29.50266456604004,5.366929054260254,-39.5041618347168,,,,,,,,
1720,,,,,,,,,,,,,,-0.7099444270133972,-1.8241264820098877,1.1760097742080688,,,,29.502056121826172,5.36541223526001,-39.503211975097656,,,,,,,,
1800,,,,,0.037683162838220596,-0.008149036206305027,1.0175279378890991,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,0.0340590737760067,-0.005347868427634239,1.0172168016433716,,,,,,,,,,,,,29.503198623657227,5.368100166320801,-39.5049934387207,,,,,,,,
1820,,,,,0.030241454020142555,-0.0025296038947999477,1.0168886184692383,,,,,,,,,,,,,29.502527236938477,5.366608619689941,-39.50394821166992,,,,,,,,
1830,,,,,,,,,,,,,,,,,,,,29.501935958862305,5.365084171295166,-39.50302505493164,,,,,,,,
1900,,,,,0.03692281246185303,-0.007549812085926533,1.0174626111984253,,,,,,,,,,,,,29.5030460357666,5.36777925491333,-39.504756927490234,,,,,,,,
1910,,,,,0.03325542062520981,-0.004744218662381172,1.0171477794647217,,,,,,,-0.8551536798477173,-1.6801880598068237,1.2545685768127441,,,,29.502391815185547,5.366280555725098,-39.50373840332031,,,,,,,,
1920,,,,,0.02939906157553196,-0.0019234581850469112,1.0168160200119019,,,,,,,-0.76323401927948,-1.774255633354187,1.2050281763076782,,,,29.50181770324707,5.364749431610107,-39.502838134765625,,,,,,,,
1930,,,,,,,,,,,,,,-0.6693862676620483,-1.8598512411117554,1.1537754535675049,,,,,,,,,,,,,,
2000,,,,,0.03610549122095108,-0.006912801880389452,1.0173925161361694,,,,,,,-0.8344767689704895,-1.702254056930542,1.243480920791626,,,,,,,,,,,,,,
2010,,,,,0.0323931984603405,-0.004102963954210281,1.0170737504959106,,,,,,,-0.7420989871025085,-1.7944371700286865,1.1935456991195679,,,,,,,,,,,,,,
